epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,17910.9,0.71061,0.57518,1.06099,0.96249,0.95219,0.97499,0.86453,0.57135,0.3438,0.92758,0.006172,0.006172,0.006172
60,18213,0.71141,0.56584,1.05799,0.97266,0.95315,0.97602,0.87057,0.56906,0.33476,0.92092,0.006106,0.006106,0.006106
61,18514.8,0.70203,0.57285,1.05684,0.96224,0.95787,0.97575,0.87289,0.55871,0.33303,0.92239,0.00604,0.00604,0.00604
62,18816.9,0.70491,0.55675,1.05902,0.96909,0.95421,0.97583,0.86859,0.56,0.33074,0.91969,0.005974,0.005974,0.005974
63,19119,0.69475,0.56034,1.05454,0.96826,0.9557,0.97467,0.87191,0.56109,0.33705,0.92199,0.005908,0.005908,0.005908
64,19421.2,0.68777,0.55958,1.0453,0.97392,0.95315,0.97556,0.87302,0.55925,0.33106,0.91944,0.005842,0.005842,0.005842
65,19722.9,0.68575,0.5502,1.04751,0.96993,0.95722,0.97608,0.87455,0.56315,0.33262,0.91747,0.005776,0.005776,0.005776
66,20025.3,0.68763,0.55046,1.04518,0.96344,0.96154,0.9756,0.87473,0.55241,0.33073,0.91152,0.00571,0.00571,0.00571
67,20327.3,0.68663,0.53621,1.04578,0.96831,0.95458,0.97551,0.87484,0.54771,0.3258,0.90686,0.005644,0.005644,0.005644
68,20629.8,0.68052,0.54371,1.04151,0.96888,0.95492,0.97522,0.87769,0.5473,0.32156,0.90987,0.005578,0.005578,0.005578
69,20932.8,0.6702,0.54004,1.03956,0.97,0.95807,0.97485,0.87689,0.55112,0.31769,0.91254,0.005512,0.005512,0.005512
70,21234.6,0.68036,0.54316,1.04434,0.96361,0.96722,0.97551,0.87777,0.54827,0.31755,0.911,0.005446,0.005446,0.005446
71,21536.8,0.6782,0.54046,1.04428,0.97012,0.95725,0.97481,0.87921,0.55092,0.32421,0.91191,0.00538,0.00538,0.00538
72,21839.1,0.66766,0.53068,1.04002,0.97443,0.95382,0.97488,0.87749,0.55146,0.31952,0.91122,0.005314,0.005314,0.005314
73,22141.2,0.66355,0.52714,1.03412,0.97603,0.94844,0.97531,0.87909,0.54441,0.31827,0.90845,0.005248,0.005248,0.005248
74,22443.7,0.65877,0.52235,1.03115,0.97681,0.95301,0.97619,0.87938,0.54584,0.31473,0.90868,0.005182,0.005182,0.005182
75,22747.2,0.65926,0.5166,1.03269,0.9776,0.95412,0.97649,0.88006,0.54841,0.3113,0.91096,0.005116,0.005116,0.005116
76,23049.5,0.65621,0.51141,1.03179,0.97552,0.95933,0.97671,0.88212,0.54235,0.30959,0.90988,0.00505,0.00505,0.00505
77,23352.2,0.65199,0.52159,1.03032,0.96954,0.96471,0.97697,0.88083,0.54085,0.30976,0.90897,0.004984,0.004984,0.004984
78,23655.4,0.65771,0.52057,1.03226,0.96946,0.96145,0.97662,0.88223,0.53888,0.30989,0.90604,0.004918,0.004918,0.004918
79,23958.1,0.65822,0.51864,1.03275,0.96742,0.96559,0.97662,0.8815,0.5419,0.31179,0.90374,0.004852,0.004852,0.004852
80,24260.7,0.64541,0.50633,1.02563,0.96749,0.96433,0.9762,0.88271,0.53961,0.31108,0.90085,0.004786,0.004786,0.004786
81,24563.5,0.64509,0.49571,1.01865,0.97054,0.96371,0.97644,0.88303,0.54089,0.30821,0.90142,0.00472,0.00472,0.00472
82,24866.1,0.63364,0.49711,1.02008,0.97,0.96362,0.97659,0.88483,0.54044,0.30799,0.8994,0.004654,0.004654,0.004654
